iso3,country_name_standard,dashboard_name,wb_region,wb_income,year,awp_usd_per_m3,cawp_pct,tawp_pct,VETb_m3,vetb_Mm3,gva_agriculture_usd,cr_value,cr_source,irr_area_ha,ETb_annual_mm,AETI_annual_mm,quality_flag
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2024,117.210503,-12.7,73.99,38033759.75499198,38.034,22289780488.1933,0.8,GLOBAL_DEFAULT,102786.6,37.0,93.3,"CR_GLOBAL_DEFAULT,OUTLIER_AWP"
AGO,Angola,Angola,Sub-Saharan Africa ,Lower middle income,2025,,,,34975683.243585825,34.976,,0.8,GLOBAL_DEFAULT,102786.6,34.0,91.3,"MISSING_GVA,CR_GLOBAL_DEFAULT"
AIA,,,,,2018,,,,292.86632466412186,0.0,,,,56.9,0.5,46.4,"MISSING_GVA,MISSING_CR,ZERO_VETB,LOW_GMIE_AREA"
AIA,,,,,2019,,,,967.375074351768,0.001,,,,56.9,1.7,49.6,"MISSING_GVA,MISSING_CR,LOW_GMIE_AREA"
AIA,,,,,2020,,,,1196.4642569628757,0.001,,,,56.9,2.1,54.1,"MISSING_GVA,MISSING_CR,LOW_GMIE_AREA"
AIA,,,,,2021,,,,852.4485337394967,0.001,,,,56.9,1.5,44.5,"MISSING_GVA,MISSING_CR,LOW_GMIE_AREA"
AIA,,,,,2022,,,,1321.614538490736,0.001,,,,56.9,2.3,50.6,"MISSING_GVA,MISSING_CR,LOW_GMIE_AREA"
AIA,,,,,2023,,,,1138.7334693784542,0.001,,,,56.9,2.0,55.8,"MISSING_GVA,MISSING_CR,LOW_GMIE_AREA"
AIA,,,,,2024,,,,507.89053109632,0.001,,,,56.9,0.9,74.1,"MISSING_GVA,MISSING_CR,ZERO_VETB,LOW_GMIE_AREA"
AIA,,,,,2025,,,,1331.7847619725997,0.001,,,,56.9,2.3,67.3,"MISSING_GVA,MISSING_CR,LOW_GMIE_AREA"
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2018,34.587604,,0.0,17525682.330725957,17.526,2755324399.34461,0.78,REGIONAL_DEFAULT,154661.8,11.3,65.7,CR_REGIONAL_DEFAULT
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2019,28.656001,-17.15,-17.15,21729131.331037693,21.729,2830318199.77187,0.78,REGIONAL_DEFAULT,154661.8,14.0,64.7,CR_REGIONAL_DEFAULT
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2020,48.386091,68.85,39.89,13032516.878288431,13.033,2866329744.13254,0.78,REGIONAL_DEFAULT,154661.8,8.4,63.4,CR_REGIONAL_DEFAULT
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2021,20.268651,-58.11,-41.4,34825402.5761331,34.825,3208472473.91808,0.78,REGIONAL_DEFAULT,154661.8,22.5,62.8,CR_REGIONAL_DEFAULT
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2022,41.829898,106.38,20.94,16987742.164726123,16.988,3229979649.89317,0.78,REGIONAL_DEFAULT,154661.8,11.0,64.6,CR_REGIONAL_DEFAULT
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2023,81.26776,94.28,134.96,10349302.203552669,10.349,3823020945.89895,0.78,REGIONAL_DEFAULT,154661.8,6.7,61.9,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2024,65.467374,-19.44,89.28,14043962.905663531,14.044,4179188054.89164,0.78,REGIONAL_DEFAULT,154661.8,9.1,67.9,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ALB,Albania,Albania,Europe & Central Asia,Upper middle income,2025,,,,31334563.36657757,31.335,,0.78,REGIONAL_DEFAULT,154661.8,20.3,68.3,"MISSING_GVA,CR_REGIONAL_DEFAULT"
AND,Andorra,Andorra,Europe & Central Asia,High income,2018,,,,0.0,0.0,17584405.7380195,0.78,REGIONAL_DEFAULT,3.0,0.0,42.3,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2019,,,,0.0,0.0,16489864.2748714,0.78,REGIONAL_DEFAULT,3.0,0.0,42.7,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2020,,,,0.0,0.0,16173504.2364073,0.78,REGIONAL_DEFAULT,3.0,0.0,38.9,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2021,,,,0.0,0.0,17681970.5402995,0.78,REGIONAL_DEFAULT,3.0,0.0,37.1,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2022,,,,0.0,0.0,16480206.9029426,0.78,REGIONAL_DEFAULT,3.0,0.0,47.5,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2023,,,,0.0,0.0,18111240.8632845,0.78,REGIONAL_DEFAULT,3.0,0.0,40.6,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2024,,,,0.0,0.0,18822587.1045254,0.78,REGIONAL_DEFAULT,3.0,0.0,46.0,"CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
AND,Andorra,Andorra,Europe & Central Asia,High income,2025,,,,0.0,0.0,,0.78,REGIONAL_DEFAULT,3.0,0.0,52.3,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,LOW_GMIE_AREA"
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2018,23.9519,,0.0,25958537.578823265,25.959,3108781484.00272,0.8,GLOBAL_DEFAULT,321857.3,8.1,8.5,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2019,24.320706,1.54,1.54,26214262.27312093,26.214,3187746766.50783,0.8,GLOBAL_DEFAULT,321857.3,8.1,9.6,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2020,22.428479,-7.78,-6.36,30669458.207592983,30.669,3439346494.21375,0.8,GLOBAL_DEFAULT,321857.3,9.5,11.2,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2021,26.259688,17.08,9.64,28646174.946956955,28.646,3761198093.94146,0.8,GLOBAL_DEFAULT,321857.3,8.9,9.2,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2022,27.593248,5.08,15.2,27463037.63373633,27.463,3788972089.85705,0.8,GLOBAL_DEFAULT,321857.3,8.5,9.4,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2023,31.610963,14.56,31.98,25264606.3212026,25.265,3993192648.05991,0.8,GLOBAL_DEFAULT,321857.3,7.8,8.7,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2024,34.453217,8.99,43.84,24669357.560076497,24.669,4249693669.1627,0.8,GLOBAL_DEFAULT,321857.3,7.7,11.3,CR_GLOBAL_DEFAULT
ARE,United Arab Emirates,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,2025,,,,33744784.35367925,33.745,,0.8,GLOBAL_DEFAULT,321857.3,10.5,11.2,"MISSING_GVA,CR_GLOBAL_DEFAULT"
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2018,6.984571,,0.0,681951440.1909128,681.951,23815691141.681,0.8,COUNTRY_FIXED,4410287.4,15.5,70.2,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2019,6.132086,-12.21,-12.21,776704134.1419632,776.704,23814083576.0785,0.8,COUNTRY_FIXED,4410287.4,17.6,70.1,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2020,6.441374,5.04,-7.78,761379553.9519602,761.38,24521654022.3675,0.8,COUNTRY_FIXED,4410287.4,17.3,69.5,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2021,9.30202,44.41,33.18,762775479.0315669,762.775,35476761997.5008,0.8,COUNTRY_FIXED,4410287.4,17.3,69.5,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2022,11.421237,22.78,63.52,726246071.1667235,726.246,41473141590.8404,0.8,COUNTRY_FIXED,4410287.4,16.5,65.9,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2023,9.569631,-16.21,37.01,793606073.5237955,793.606,37972587012.1696,0.8,COUNTRY_FIXED,4410287.4,18.0,65.7,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2024,9.22927,-3.56,32.14,803175295.3204997,803.175,37063607556.0073,0.8,COUNTRY_FIXED,4410287.4,18.2,70.4,CR_COUNTRY_FIXED
ARG,Argentina,Argentina,Latin America & Caribbean ,Upper middle income,2025,,,,722991840.021706,722.992,,0.8,COUNTRY_FIXED,4410287.4,16.4,74.7,"MISSING_GVA,CR_COUNTRY_FIXED"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2018,97.580113,,0.0,3915997.529295683,3.916,1736924917.50731,0.78,REGIONAL_DEFAULT,75926.4,5.2,48.1,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2019,55.511698,-43.11,-43.11,6220948.489606495,6.221,1569706412.82118,0.78,REGIONAL_DEFAULT,75926.4,8.2,44.6,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2020,68.672913,23.71,-29.62,4596540.0604408095,4.597,1434808157.53483,0.78,REGIONAL_DEFAULT,75926.4,6.1,44.5,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2021,59.409305,-13.49,-39.12,5830052.370542184,5.83,1574360720.16992,0.78,REGIONAL_DEFAULT,75926.4,7.7,45.7,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2022,60.525872,1.88,-37.97,7196841.3626623005,7.197,1979977735.44196,0.78,REGIONAL_DEFAULT,75926.4,9.5,42.5,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2023,121.023713,99.95,24.02,3562221.6031316924,3.562,1959605839.78801,0.78,REGIONAL_DEFAULT,75926.4,4.7,42.9,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2024,322.582634,166.54,230.58,1381750.258365726,1.382,2026039263.61622,0.78,REGIONAL_DEFAULT,75926.4,1.8,46.4,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
ARM,Armenia,Armenia,Europe & Central Asia,Upper middle income,2025,,,,5033424.820407309,5.033,,0.78,REGIONAL_DEFAULT,75926.4,6.6,47.4,"MISSING_GVA,CR_REGIONAL_DEFAULT"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2018,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2019,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2020,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2021,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2022,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2023,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2024,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ASM,American Samoa,American Samoa,East Asia & Pacific,High income,2025,,,,0.0,0.0,,0.72,REGIONAL_DEFAULT,0.0,,,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2018,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2019,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2020,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2021,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2022,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2023,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2024,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATA,,,,,2025,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2018,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2019,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2020,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2021,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2022,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2023,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2024,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATF,,,,,2025,,,,0.0,0.0,,,,0.0,,,"MISSING_GVA,MISSING_CR,ZERO_VETB,NO_GMIE_IRRIGATION"
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2018,20.076966,,0.0,269260.1048055625,0.269,27029629.6296296,0.8,GLOBAL_DEFAULT,3691.0,7.3,75.6,CR_GLOBAL_DEFAULT
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2019,19.536339,-2.69,-2.69,291043.5787052417,0.291,28429629.6296296,0.8,GLOBAL_DEFAULT,3691.0,7.9,89.9,CR_GLOBAL_DEFAULT
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2020,16.796588,-14.02,-16.34,383058.4051901583,0.383,32170370.3703704,0.8,GLOBAL_DEFAULT,3691.0,10.4,84.8,CR_GLOBAL_DEFAULT
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2021,18.301587,8.96,-8.84,364307.6035923271,0.364,33337037.037037,0.8,GLOBAL_DEFAULT,3691.0,9.9,81.3,CR_GLOBAL_DEFAULT
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2022,22.314477,21.93,11.14,327175.071449196,0.327,36503703.7037037,0.8,GLOBAL_DEFAULT,3691.0,8.9,75.1,CR_GLOBAL_DEFAULT
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2023,23.431805,5.01,16.71,332691.2083322667,0.333,38977777.7777778,0.8,GLOBAL_DEFAULT,3691.0,9.0,84.6,CR_GLOBAL_DEFAULT
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2024,,,,214809.75197162197,0.215,,0.8,GLOBAL_DEFAULT,3691.0,5.8,89.4,"MISSING_GVA,CR_GLOBAL_DEFAULT"
ATG,Antigua and Barbuda,Antigua and Barbuda,Latin America & Caribbean ,High income,2025,,,,263266.5071632052,0.263,,0.8,GLOBAL_DEFAULT,3691.0,7.1,90.8,"MISSING_GVA,CR_GLOBAL_DEFAULT"
AUS,Australia,Australia,East Asia & Pacific,High income,2018,25.42443,,0.0,418017178.6667991,418.017,35426161907.4195,0.7,COUNTRY_FIXED,3937978.0,10.6,33.9,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2019,20.063397,-21.09,-21.09,444158521.77258897,444.159,29704429023.1289,0.7,COUNTRY_FIXED,3937978.0,11.3,29.4,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2020,30.136669,50.21,18.53,267465776.72285387,267.466,26868425092.3914,0.7,COUNTRY_FIXED,3937978.0,6.8,37.5,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2021,30.986682,2.82,21.88,348325231.057557,348.325,35978144132.001,0.7,COUNTRY_FIXED,3937978.0,8.8,47.2,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2022,46.353931,49.59,82.32,293272267.71233964,293.272,45314408069.1166,0.7,COUNTRY_FIXED,3937978.0,7.4,47.7,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2023,27.093998,-41.55,6.57,493890050.9292722,493.89,44604854016.0724,0.7,COUNTRY_FIXED,3937978.0,12.5,42.3,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2024,28.407936,4.85,11.73,377713550.9167579,377.714,35766874141.9844,0.7,COUNTRY_FIXED,3937978.0,9.6,46.2,CR_COUNTRY_FIXED
AUS,Australia,Australia,East Asia & Pacific,High income,2025,,,,438092783.8240422,438.093,,0.7,COUNTRY_FIXED,3937978.0,11.1,45.6,"MISSING_GVA,CR_COUNTRY_FIXED"
AUT,Austria,Austria,Europe & Central Asia,High income,2018,,,,306499.038166217,0.306,5019654229.64862,0.78,REGIONAL_DEFAULT,441052.7,0.1,53.1,"CR_REGIONAL_DEFAULT,ZERO_VETB"
AUT,Austria,Austria,Europe & Central Asia,High income,2019,,,,1252486.5200288808,1.252,4627558347.48235,0.78,REGIONAL_DEFAULT,441052.7,0.3,50.1,"CR_REGIONAL_DEFAULT,ZERO_VETB"
AUT,Austria,Austria,Europe & Central Asia,High income,2020,129.717023,,,7893272.970292029,7.893,4654053944.11519,0.78,REGIONAL_DEFAULT,441052.7,1.8,49.4,"CR_REGIONAL_DEFAULT,OUTLIER_AWP"
AUT,Austria,Austria,Europe & Central Asia,High income,2021,,,,2770069.867950763,2.77,5838813982.17432,0.78,REGIONAL_DEFAULT,441052.7,0.6,47.2,"CR_REGIONAL_DEFAULT,ZERO_VETB"
AUT,Austria,Austria,Europe & Central Asia,High income,2022,,,,649009.8340151578,0.649,6371905694.10703,0.78,REGIONAL_DEFAULT,441052.7,0.1,49.5,"CR_REGIONAL_DEFAULT,ZERO_VETB"
AUT,Austria,Austria,Europe & Central Asia,High income,2023,,,,370041.2170661689,0.37,6415816609.11188,0.78,REGIONAL_DEFAULT,441052.7,0.1,45.4,"CR_REGIONAL_DEFAULT,ZERO_VETB"
AUT,Austria,Austria,Europe & Central Asia,High income,2024,,,,427503.7188038711,0.428,6506444439.44687,0.78,REGIONAL_DEFAULT,441052.7,0.1,51.2,"CR_REGIONAL_DEFAULT,ZERO_VETB"
AUT,Austria,Austria,Europe & Central Asia,High income,2025,,,,682820.3098702286,0.683,,0.78,REGIONAL_DEFAULT,441052.7,0.2,50.8,"MISSING_GVA,CR_REGIONAL_DEFAULT,ZERO_VETB"
AZE,Azerbaijan,Azerbaijan,Europe & Central Asia,Upper middle income,2018,1.240017,,0.0,435679528.3331841,435.68,2455681325.53969,0.78,REGIONAL_DEFAULT,2529911.7,17.2,50.5,CR_REGIONAL_DEFAULT
AZE,Azerbaijan,Azerbaijan,Europe & Central Asia,Upper middle income,2019,1.418003,14.35,14.35,425679719.8296682,425.68,2743705882.35294,0.78,REGIONAL_DEFAULT,2529911.7,16.8,53.7,CR_REGIONAL_DEFAULT
AZE,Azerbaijan,Azerbaijan,Europe & Central Asia,Upper middle income,2020,1.636825,15.43,32.0,386695646.5113756,386.696,2877058823.52941,0.78,REGIONAL_DEFAULT,2529911.7,15.3,49.2,CR_REGIONAL_DEFAULT
