m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
112,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belarus,2018,5823,1000 ha,X,false
112,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belarus,2019,5820,1000 ha,X,false
112,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belarus,2020,5760,1000 ha,X,false
112,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belarus,2021,5719,1000 ha,X,false
112,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belarus,2022,5696,1000 ha,X,false
56,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belgium,2018,874,1000 ha,X,false
56,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belgium,2019,880.9587,1000 ha,X,false
56,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belgium,2020,888.4901,1000 ha,X,false
56,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belgium,2021,889.39,1000 ha,X,false
56,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belgium,2022,887.56,1000 ha,X,false
84,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belize,2018,122,1000 ha,X,false
84,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belize,2019,124,1000 ha,X,false
84,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belize,2020,130,1000 ha,X,false
84,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belize,2021,132,1000 ha,X,false
84,Geography and population,Land use,Cultivated area (arable land + permanent crops),Belize,2022,132,1000 ha,X,false
204,Geography and population,Land use,Cultivated area (arable land + permanent crops),Benin,2018,3910.8086,1000 ha,X,false
204,Geography and population,Land use,Cultivated area (arable land + permanent crops),Benin,2019,4081.2094,1000 ha,X,false
204,Geography and population,Land use,Cultivated area (arable land + permanent crops),Benin,2020,3883.0486,1000 ha,X,false
204,Geography and population,Land use,Cultivated area (arable land + permanent crops),Benin,2021,4073.4245,1000 ha,X,false
204,Geography and population,Land use,Cultivated area (arable land + permanent crops),Benin,2022,4305.7123,1000 ha,X,false
64,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bhutan,2018,100,1000 ha,X,false
64,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bhutan,2019,100,1000 ha,X,false
64,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bhutan,2020,93.8842,1000 ha,X,false
64,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bhutan,2021,78.8894,1000 ha,X,false
64,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bhutan,2022,75.1283,1000 ha,X,false
68,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),2018,5200.549,1000 ha,X,false
68,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),2019,5505.2649,1000 ha,X,false
68,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),2020,5527.1214,1000 ha,X,false
68,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),2021,5655.1642,1000 ha,X,false
68,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),2022,5815.3989,1000 ha,X,false
70,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,2018,1129,1000 ha,X,false
70,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,2019,1121,1000 ha,X,false
70,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,2020,1122,1000 ha,X,false
70,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,2021,1116,1000 ha,X,false
70,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,2022,1116,1000 ha,X,false
72,Geography and population,Land use,Cultivated area (arable land + permanent crops),Botswana,2018,261.6,1000 ha,X,false
72,Geography and population,Land use,Cultivated area (arable land + permanent crops),Botswana,2019,262,1000 ha,X,false
72,Geography and population,Land use,Cultivated area (arable land + permanent crops),Botswana,2020,262,1000 ha,X,false
72,Geography and population,Land use,Cultivated area (arable land + permanent crops),Botswana,2021,262,1000 ha,X,false
72,Geography and population,Land use,Cultivated area (arable land + permanent crops),Botswana,2022,262,1000 ha,X,false
76,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brazil,2018,63493.8154,1000 ha,X,false
76,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brazil,2019,63469.8308,1000 ha,X,false
76,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brazil,2020,63445.8462,1000 ha,X,false
76,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brazil,2021,63421.8616,1000 ha,X,false
76,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brazil,2022,63397.877,1000 ha,X,false
96,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brunei Darussalam,2018,10,1000 ha,X,false
96,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brunei Darussalam,2019,10,1000 ha,X,false
96,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brunei Darussalam,2020,10,1000 ha,X,false
96,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brunei Darussalam,2021,10,1000 ha,X,false
96,Geography and population,Land use,Cultivated area (arable land + permanent crops),Brunei Darussalam,2022,10,1000 ha,X,false
100,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bulgaria,2018,3631,1000 ha,X,false
100,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bulgaria,2019,3629,1000 ha,X,false
100,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bulgaria,2020,3644,1000 ha,X,false
100,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bulgaria,2021,3649.5179,1000 ha,X,false
100,Geography and population,Land use,Cultivated area (arable land + permanent crops),Bulgaria,2022,3607.8155,1000 ha,X,false
854,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burkina Faso,2018,8004.0667,1000 ha,X,false
854,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burkina Faso,2019,8139.8972,1000 ha,X,false
854,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burkina Faso,2020,8270.7277,1000 ha,X,false
854,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burkina Faso,2021,8416.5582,1000 ha,X,false
854,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burkina Faso,2022,8567.3887,1000 ha,X,false
108,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burundi,2018,1539,1000 ha,X,false
108,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burundi,2019,1566,1000 ha,X,false
108,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burundi,2020,1593,1000 ha,X,false
108,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burundi,2021,1620,1000 ha,X,false
108,Geography and population,Land use,Cultivated area (arable land + permanent crops),Burundi,2022,1643.5085,1000 ha,X,false
132,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cabo Verde,2018,54,1000 ha,X,false
132,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cabo Verde,2019,54,1000 ha,X,false
132,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cabo Verde,2020,54,1000 ha,X,false
132,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cabo Verde,2021,54,1000 ha,X,false
132,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cabo Verde,2022,54,1000 ha,X,false
116,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cambodia,2018,4358.3648,1000 ha,X,false
116,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cambodia,2019,4451.5978,1000 ha,X,false
116,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cambodia,2020,4554.8817,1000 ha,X,false
116,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cambodia,2021,4622.5727,1000 ha,X,false
116,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cambodia,2022,4614.8297,1000 ha,X,false
120,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cameroon,2018,7750,1000 ha,X,false
120,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cameroon,2019,7750,1000 ha,X,false
120,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cameroon,2020,7750,1000 ha,X,false
120,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cameroon,2021,7750,1000 ha,X,false
120,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cameroon,2022,7750,1000 ha,X,false
124,Geography and population,Land use,Cultivated area (arable land + permanent crops),Canada,2018,38860,1000 ha,X,false
124,Geography and population,Land use,Cultivated area (arable land + permanent crops),Canada,2019,38815,1000 ha,X,false
124,Geography and population,Land use,Cultivated area (arable land + permanent crops),Canada,2020,38401,1000 ha,X,false
124,Geography and population,Land use,Cultivated area (arable land + permanent crops),Canada,2021,38431,1000 ha,X,false
124,Geography and population,Land use,Cultivated area (arable land + permanent crops),Canada,2022,38517,1000 ha,X,false
140,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central African Republic,2018,2173.365,1000 ha,X,false
140,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central African Republic,2019,2496.792,1000 ha,X,false
140,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central African Republic,2020,2592.803,1000 ha,X,false
140,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central African Republic,2021,2614.6,1000 ha,X,false
140,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central African Republic,2022,2637.178,1000 ha,X,false
143,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central Asia,2018,38402.1182,1000 ha,E,true
143,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central Asia,2019,37969.9,1000 ha,E,true
143,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central Asia,2020,38172.1,1000 ha,E,true
143,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central Asia,2021,38276.7,1000 ha,E,true
143,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central Asia,2022,38331,1000 ha,E,true
62,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central and Southern Asia,2018,277731.6553,1000 ha,E,true
62,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central and Southern Asia,2019,276751.1623,1000 ha,E,true
62,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central and Southern Asia,2020,276799.6317,1000 ha,E,true
62,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central and Southern Asia,2021,276231.0958,1000 ha,E,true
62,Geography and population,Land use,Cultivated area (arable land + permanent crops),Central and Southern Asia,2022,276186.1763,1000 ha,E,true
148,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chad,2018,5338,1000 ha,X,false
148,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chad,2019,5338,1000 ha,X,false
148,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chad,2020,5338,1000 ha,X,false
148,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chad,2021,5338,1000 ha,X,false
148,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chad,2022,5338,1000 ha,X,false
152,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chile,2018,1984.3067,1000 ha,X,false
152,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chile,2019,1935.1761,1000 ha,X,false
152,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chile,2020,1912.9813,1000 ha,X,false
152,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chile,2021,2034.3591,1000 ha,X,false
152,Geography and population,Land use,Cultivated area (arable land + permanent crops),Chile,2022,1853.6621,1000 ha,X,false
156,Geography and population,Land use,Cultivated area (arable land + permanent crops),China,2018,129408.6,1000 ha,X,false
156,Geography and population,Land use,Cultivated area (arable land + permanent crops),China,2019,128656.2,1000 ha,X,false
156,Geography and population,Land use,Cultivated area (arable land + permanent crops),China,2020,128561.1,1000 ha,X,false
156,Geography and population,Land use,Cultivated area (arable land + permanent crops),China,2021,128464,1000 ha,X,false
156,Geography and population,Land use,Cultivated area (arable land + permanent crops),China,2022,128363,1000 ha,X,false
170,Geography and population,Land use,Cultivated area (arable land + permanent crops),Colombia,2018,4448,1000 ha,X,false
170,Geography and population,Land use,Cultivated area (arable land + permanent crops),Colombia,2019,4617,1000 ha,X,false
170,Geography and population,Land use,Cultivated area (arable land + permanent crops),Colombia,2020,4705.6667,1000 ha,X,false
170,Geography and population,Land use,Cultivated area (arable land + permanent crops),Colombia,2021,4794.3333,1000 ha,X,false
170,Geography and population,Land use,Cultivated area (arable land + permanent crops),Colombia,2022,4883,1000 ha,X,false
174,Geography and population,Land use,Cultivated area (arable land + permanent crops),Comoros,2018,118,1000 ha,X,false
174,Geography and population,Land use,Cultivated area (arable land + permanent crops),Comoros,2019,118,1000 ha,X,false
174,Geography and population,Land use,Cultivated area (arable land + permanent crops),Comoros,2020,118,1000 ha,X,false
174,Geography and population,Land use,Cultivated area (arable land + permanent crops),Comoros,2021,118,1000 ha,X,false
174,Geography and population,Land use,Cultivated area (arable land + permanent crops),Comoros,2022,118,1000 ha,X,false
178,Geography and population,Land use,Cultivated area (arable land + permanent crops),Congo,2018,631.497,1000 ha,X,false
178,Geography and population,Land use,Cultivated area (arable land + permanent crops),Congo,2019,633.824,1000 ha,X,false
178,Geography and population,Land use,Cultivated area (arable land + permanent crops),Congo,2020,640.349,1000 ha,X,false
178,Geography and population,Land use,Cultivated area (arable land + permanent crops),Congo,2021,672.284,1000 ha,X,false
178,Geography and population,Land use,Cultivated area (arable land + permanent crops),Congo,2022,686.601,1000 ha,X,false
184,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cook Islands,2018,1.9,1000 ha,X,false
184,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cook Islands,2019,1.9,1000 ha,X,false
184,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cook Islands,2020,1.9,1000 ha,X,false
184,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cook Islands,2021,1.9,1000 ha,X,false
184,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cook Islands,2022,1.9,1000 ha,X,false
188,Geography and population,Land use,Cultivated area (arable land + permanent crops),Costa Rica,2018,536.049,1000 ha,X,false
188,Geography and population,Land use,Cultivated area (arable land + permanent crops),Costa Rica,2019,530.222,1000 ha,X,false
188,Geography and population,Land use,Cultivated area (arable land + permanent crops),Costa Rica,2020,525.674,1000 ha,X,false
188,Geography and population,Land use,Cultivated area (arable land + permanent crops),Costa Rica,2021,526.781,1000 ha,X,false
188,Geography and population,Land use,Cultivated area (arable land + permanent crops),Costa Rica,2022,522.902,1000 ha,X,false
191,Geography and population,Land use,Cultivated area (arable land + permanent crops),Croatia,2018,876,1000 ha,X,false
191,Geography and population,Land use,Cultivated area (arable land + permanent crops),Croatia,2019,897,1000 ha,X,false
191,Geography and population,Land use,Cultivated area (arable land + permanent crops),Croatia,2020,968,1000 ha,X,false
191,Geography and population,Land use,Cultivated area (arable land + permanent crops),Croatia,2021,936,1000 ha,X,false
191,Geography and population,Land use,Cultivated area (arable land + permanent crops),Croatia,2022,932,1000 ha,X,false
192,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cuba,2018,3561.6,1000 ha,X,false
192,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cuba,2019,3561.6,1000 ha,X,false
192,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cuba,2020,3561.6,1000 ha,X,false
192,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cuba,2021,3561.6,1000 ha,X,false
192,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cuba,2022,3561.6,1000 ha,X,false
196,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cyprus,2018,130.8547,1000 ha,X,false
196,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cyprus,2019,123.768,1000 ha,X,false
196,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cyprus,2020,125.391,1000 ha,X,false
196,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cyprus,2021,119.417,1000 ha,X,false
196,Geography and population,Land use,Cultivated area (arable land + permanent crops),Cyprus,2022,120.7837,1000 ha,X,false
203,Geography and population,Land use,Cultivated area (arable land + permanent crops),Czechia,2018,2533,1000 ha,X,false
203,Geography and population,Land use,Cultivated area (arable land + permanent crops),Czechia,2019,2531.821,1000 ha,X,false
203,Geography and population,Land use,Cultivated area (arable land + permanent crops),Czechia,2020,2534.262,1000 ha,X,false
203,Geography and population,Land use,Cultivated area (arable land + permanent crops),Czechia,2021,2524.272,1000 ha,X,false
203,Geography and population,Land use,Cultivated area (arable land + permanent crops),Czechia,2022,2527.713,1000 ha,X,false
384,Geography and population,Land use,Cultivated area (arable land + permanent crops),Côte d'Ivoire,2018,12666.7795,1000 ha,X,false
384,Geography and population,Land use,Cultivated area (arable land + permanent crops),Côte d'Ivoire,2019,12724.8864,1000 ha,X,false
384,Geography and population,Land use,Cultivated area (arable land + permanent crops),Côte d'Ivoire,2020,13075.0117,1000 ha,X,false
384,Geography and population,Land use,Cultivated area (arable land + permanent crops),Côte d'Ivoire,2021,13636.9318,1000 ha,X,false
384,Geography and population,Land use,Cultivated area (arable land + permanent crops),Côte d'Ivoire,2022,13561.8664,1000 ha,X,false
408,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic People's Republic of Korea,2018,2547.879,1000 ha,X,false
408,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic People's Republic of Korea,2019,2544.724,1000 ha,X,false
408,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic People's Republic of Korea,2020,2546.47,1000 ha,X,false
408,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic People's Republic of Korea,2021,2545.279,1000 ha,X,false
408,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic People's Republic of Korea,2022,2544.349,1000 ha,X,false
180,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic Republic of the Congo,2018,15394,1000 ha,X,false
180,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic Republic of the Congo,2019,15630,1000 ha,X,false
180,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic Republic of the Congo,2020,15695,1000 ha,X,false
180,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic Republic of the Congo,2021,16112.9724,1000 ha,X,false
180,Geography and population,Land use,Cultivated area (arable land + permanent crops),Democratic Republic of the Congo,2022,16967.0289,1000 ha,X,false
208,Geography and population,Land use,Cultivated area (arable land + permanent crops),Denmark,2018,2419.8,1000 ha,X,false
208,Geography and population,Land use,Cultivated area (arable land + permanent crops),Denmark,2019,2419.278,1000 ha,X,false
208,Geography and population,Land use,Cultivated area (arable land + permanent crops),Denmark,2020,2397.582,1000 ha,X,false
208,Geography and population,Land use,Cultivated area (arable land + permanent crops),Denmark,2021,2384,1000 ha,X,false
208,Geography and population,Land use,Cultivated area (arable land + permanent crops),Denmark,2022,2391,1000 ha,X,false
262,Geography and population,Land use,Cultivated area (arable land + permanent crops),Djibouti,2018,2.8,1000 ha,X,false
262,Geography and population,Land use,Cultivated area (arable land + permanent crops),Djibouti,2019,2.9,1000 ha,X,false
262,Geography and population,Land use,Cultivated area (arable land + permanent crops),Djibouti,2020,3.9,1000 ha,X,false
262,Geography and population,Land use,Cultivated area (arable land + permanent crops),Djibouti,2021,3.9,1000 ha,X,false
262,Geography and population,Land use,Cultivated area (arable land + permanent crops),Djibouti,2022,3.9,1000 ha,X,false
